pedido_id,cliente_id,fecha_pedido,estado,total,vendedor_id
1,38,2025-06-01,pendiente,779970,20
2,28,2025-06-02,pendiente,377940,11
3,35,2025-06-02,entregado,589980,11
4,48,2025-06-01,entregado,159970,24
5,24,2025-06-02,entregado,314940,23
6,23,2025-06-01,entregado,2399960,15
7,28,2025-06-01,entregado,314980,25
8,26,2025-06-02,procesado,465980,7
9,10,2025-06-01,pendiente,739950,28
10,36,2025-06-01,pendiente,479970,13
11,25,2025-06-02,procesado,1859950,29
12,23,2025-06-02,pendiente,1059960,28
13,16,2025-06-03,entregado,669960,22
14,8,2025-06-03,procesado,719970,7
15,31,2025-06-03,entregado,349990,20
